step,epoch,lr,world_size,bs,loss,nce_12,nce_21,tau,gather,bs_local,bs_global_view,run_name,scale,objective,init,reg,sim,sigreg,V,inv,var,cov
8900,342,0.00035747959999998184,1,384,2.7095742225646973,2.70989990234375,2.7092487812042236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9000,346,0.00036143959999998163,1,384,2.6748554706573486,2.6744587421417236,2.6752521991729736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9100,350,0.0003653995999999812,1,384,2.6285808086395264,2.6282145977020264,2.6289470195770264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9200,353,0.0003693595999999805,1,384,2.7115073204040527,2.7115886211395264,2.71142578125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9300,357,0.00037331959999997933,1,384,2.694549560546875,2.69500732421875,2.694091796875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9400,361,0.0003772795999999783,1,384,2.7677102088928223,2.7674152851104736,2.76800537109375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9500,365,0.0003812395999999781,1,384,2.5861716270446777,2.5864055156707764,2.5859375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9600,369,0.00038519959999997806,1,384,2.54498291015625,2.54461669921875,2.54534912109375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9700,373,0.00038915959999997747,1,384,2.52532958984375,2.52532958984375,2.52532958984375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9800,376,0.0003931195999999769,1,384,2.6068012714385986,2.6069538593292236,2.6066486835479736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
9900,380,0.000397079599999977,1,384,2.5897724628448486,2.5894367694854736,2.5901081562042236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10000,384,0.00040103959999997647,1,384,2.572845458984375,2.5732219219207764,2.5724689960479736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10100,388,0.00040499959999997626,1,384,2.583465576171875,2.5832927227020264,2.5836384296417236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10200,392,0.00040895959999997584,1,384,2.566680908203125,2.566162109375,2.56719970703125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10300,396,0.0004129195999999751,1,384,2.60260009765625,2.6025390625,2.6026611328125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10400,400,0.0004168795999999747,1,384,2.5090126991271973,2.5089111328125,2.5091145038604736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10500,403,0.00042083959999997456,1,384,2.5824074745178223,2.58203125,2.5827839374542236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10600,407,0.000424799599999974,1,384,2.4435832500457764,2.4433391094207764,2.4438273906707764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
