step,epoch,lr,world_size,bs,loss,sim,sigreg,V,run_name,scale,objective,init,reg,ep_partial,bhep
8400,3,0.0003376795999999835,1,384,0.5412877202033997,0.44899117946624756,2.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.296875,,
8500,3,0.0003416395999999833,1,384,0.527978777885437,0.4447473883628845,2.109375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.109375,,
8600,3,0.00034559959999998306,1,384,0.5411084890365601,0.4452046751976013,2.359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.359375,,
8700,3,0.00034955959999998263,1,384,0.5409868955612183,0.4491884708404541,2.28125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.28125,,
8800,3,0.0003535195999999821,1,384,0.553881049156189,0.4473419189453125,2.578125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.578125,,
8900,3,0.00035747959999998184,1,384,0.5298441648483276,0.4425991475582123,2.1875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.1875,,
9000,3,0.00036143959999998163,1,384,0.5356007814407349,0.4455748498439789,2.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.25,,
9100,3,0.0003653995999999812,1,384,0.537312388420105,0.44480666518211365,2.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.296875,,
9200,3,0.0003693595999999805,1,384,0.551016092300415,0.44741004705429077,2.515625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.515625,,
9300,3,0.00037331959999997933,1,384,0.5429917573928833,0.4451311528682709,2.40625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.40625,,
9400,3,0.0003772795999999783,1,384,0.5199156999588013,0.44345566630363464,1.96875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.96875,,
9500,3,0.0003812395999999781,1,384,0.5420907735824585,0.4472665786743164,2.34375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.34375,,
9600,3,0.00038519959999997806,1,384,0.5155810117721558,0.43323904275894165,2.078125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.078125,,
9700,3,0.00038915959999997747,1,384,0.525865912437439,0.43121573328971863,2.328125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.328125,,
9800,3,0.0003931195999999769,1,384,0.5204253792762756,0.43833839893341064,2.078125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.078125,,
9900,3,0.000397079599999977,1,384,0.5203161835670471,0.4294857978820801,2.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.25,,
10000,3,0.00040103959999997647,1,384,0.5192998647689819,0.42841601371765137,2.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.25,,
10100,3,0.00040499959999997626,1,384,0.5146759152412415,0.4235486686229706,2.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.25,,
10200,3,0.00040895959999997584,1,384,0.49974358081817627,0.4201659560203552,2.015625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.015625,,
10300,3,0.0004129195999999751,1,384,0.5071774125099182,0.428505003452301,2.0,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.0,,
10400,3,0.0004168795999999747,1,384,0.5097618103027344,0.4122081696987152,2.359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.359375,,
10500,4,0.00042083959999997456,1,384,0.49258336424827576,0.41160091757774353,2.03125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.03125,,
10600,4,0.000424799599999974,1,384,0.5000438094139099,0.4081464409828186,2.25,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.25,,
10700,4,0.00042875959999997404,1,384,0.4876452088356018,0.4012630581855774,2.125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.125,,
10800,4,0.0004327195999999736,1,384,0.4942364990711212,0.40408942103385925,2.203125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.203125,,
10900,4,0.00043667959999997254,1,384,0.49503257870674133,0.3992736041545868,2.3125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.3125,,
11000,4,0.0004406395999999721,1,384,0.4791603684425354,0.3907896876335144,2.15625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.15625,,
11100,4,0.00044459959999997186,1,384,0.49085643887519836,0.39641961455345154,2.28125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.28125,,
11200,4,0.00044855959999997176,1,384,0.4877074658870697,0.39002102613449097,2.34375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.34375,,
11300,4,0.000452519599999972,1,384,0.4657621681690216,0.38182613253593445,2.0625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.0625,,
11400,4,0.0004564795999999721,1,384,0.47901567816734314,0.373676061630249,2.484375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.484375,,
11500,4,0.000460439599999972,1,384,0.4607650339603424,0.3724541664123535,2.140625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.140625,,
11600,4,0.00046439959999997174,1,384,0.44722235202789307,0.36796432733535767,1.953125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.953125,,
11700,4,0.00046835959999997126,1,384,0.47393983602523804,0.36216530203819275,2.59375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.59375,,
11800,4,0.0004723195999999719,1,384,0.465257465839386,0.3612496256828308,2.4375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.4375,,
11900,4,0.0004762795999999715,1,384,0.4518339931964874,0.35123151540756226,2.359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.359375,,
12000,4,0.0004802395999999717,1,384,0.4628555476665497,0.34124597907066345,2.765625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.765625,,
12100,4,0.00048419959999997125,1,384,0.44216591119766235,0.3395126461982727,2.390625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.390625,,
12200,4,0.0004881595999999707,1,384,0.4526362419128418,0.3464221954345703,2.46875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.46875,,
12300,4,0.0004921195999999699,1,384,0.4313162863254547,0.31832635402679443,2.578125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.578125,,
12400,4,0.0004960795999999694,1,384,0.42707347869873047,0.32105597853660583,2.4375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.4375,,
12500,4,0.0004999999991235791,1,384,0.41913917660713196,0.3055083453655243,2.578125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.578125,,
12600,4,0.000499991059684037,1,384,0.4363631308078766,0.3154151439666748,2.734375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.734375,,
12700,4,0.0004999645925570581,1,384,0.42188760638237,0.3073734641075134,2.59375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.59375,,
12800,4,0.0004999205996001967,1,384,0.4183651804924011,0.3036656677722931,2.59375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.59375,,
12900,4,0.0004998590839010295,1,384,0.40664908289909363,0.290304958820343,2.625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.625,,
13000,4,0.00049978004977694,1,384,0.40773919224739075,0.30173206329345703,2.421875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.421875,,
13100,5,0.0004996835027748158,1,384,0.41933199763298035,0.26767677068710327,3.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,3.296875,,
13200,5,0.0004995694496706574,1,384,0.4146672487258911,0.2822977602481842,2.9375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.9375,,
13300,5,0.0004994378984691047,1,384,0.37907108664512634,0.2674432396888733,2.5,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.5,,
13400,5,0.0004992888584028738,1,384,0.3883337676525116,0.26691383123397827,2.6875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.6875,,
13500,5,0.0004991223399321102,1,384,0.37886637449264526,0.25694817304611206,2.703125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.703125,,
13600,5,0.0004989383547436532,1,384,0.40058791637420654,0.25000208616256714,3.265625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,3.265625,,
13700,5,0.0004987369157502165,1,384,0.3765922784805298,0.24119091033935547,2.953125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.953125,,
13800,5,0.0004985180370894827,1,384,0.38070645928382874,0.2424377202987671,3.015625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,3.015625,,
13900,5,0.0004982817341231088,1,384,0.3742066025733948,0.24279150366783142,2.875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.875,,
14000,5,0.0004980280234356511,1,384,0.37761080265045166,0.23506727814674377,3.09375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,3.09375,,
14100,5,0.0004977569228333998,1,384,0.34685367345809937,0.2191387265920639,2.78125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.78125,,
14200,5,0.0004974684513431281,1,384,0.34658700227737427,0.2137182205915451,2.875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.875,,
14300,5,0.000497162629210758,1,384,0.3467862904071808,0.20981615781784058,2.953125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.953125,,
14400,5,0.0004968394778999407,1,384,0.31249332427978516,0.1953054964542389,2.546875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.546875,,
14500,5,0.0004964990200905466,1,384,0.3275233507156372,0.2039308249950409,2.671875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.671875,,
14600,5,0.0004961412796770781,1,384,0.31683024764060974,0.1978147327899933,2.578125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.578125,,
14700,5,0.0004957662817669899,1,384,0.32501909136772156,0.20540660619735718,2.59375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.59375,,
14800,5,0.0004953740526789238,1,384,0.31671422719955444,0.19563667476177216,2.625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.625,,
14900,5,0.0004949646199408699,1,384,0.29629313945770264,0.19007417559623718,2.3125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.3125,,
15000,5,0.0004945380122882255,1,384,0.29913991689682007,0.18124926090240479,2.53125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.53125,,
15100,5,0.0004940942596617859,1,384,0.3165985941886902,0.1903751790523529,2.71875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.71875,,
15200,5,0.000493633393205638,1,384,0.3019947409629822,0.1873382180929184,2.484375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.484375,,
15300,5,0.000493155445264977,1,384,0.2919631004333496,0.19322597980499268,2.171875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.171875,,
15400,5,0.0004926604493838346,1,384,0.28297924995422363,0.1801714152097702,2.234375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.234375,,
